CODIGOS	DESCRIPCION	Unidad_Primaria	PAQUETES	CESTAS	SOBRE_PISO
PTSU0059	DONA REGULAR MAPPLE 60 GR 1 UND	UND			
PTSU0060	DONA RELLENA DE VAINILLA 60 GR 1 UND	UND			
PTSU0061	DONA RELLENA DE CHOCOLATE 60 GR 1 UND	UND			
PTSU0062	DONA RELLENA DE BUFITO 60 GR 1 UND	UND			
PTSU0063	DONA RELLENA DE CREMA DE MANI 60 GR 1 UND	UND			
PTSU0064	MINI DONA REGULAR GLASEADA 30 GR 1 UND	UND			
PTSU0065	MINI DONA REGULAR CHOCOLATE 30 GR 1 UND	UND			
PTSU0066	MINI DONA REGULAR CHOCO CHISPAS 30 GR 1 UND	UND			
PTSU0067	MINI DONA REGULAR CHOCO MANI 30 GR 1 UND	UND			
PTSU0068	MINI DONA REGULAR VAINILLA 30 GR 1 UND	UND			
PTSU0069	MINI DONA REGULAR BERRY GOOD 30 GR 1 UND	UND			
PTSU0070	MINI DONA REGULAR PIE DE LIMON 30 GR 1 UND	UND			
PTSU0071	MINI DONA REGULAR CHOCOLATE BLANCO 30 GR 1 UND	UND			
PTSU0072	MINI DONA REGULAR MAPPLE 30 GR 1 UND	UND			
PTSU0073	PERLA DE NUTELLA 30 GR 1 UND	UND			
PTSU0074	PERLA DE BUFITO 30 GR 1 UND	UND			
PTSU0075	CACHITO DE PERNIL 130 G 1 UND	UND			
PTSU0076	SANDUCHE DE PROSCIUTTO	UND			
PTSU0077	MINI CROISSANT CON PISTACHO	UND			
PTSU0078	DONA RELLENA PAVLOVA 60GR 1 UND	UND			
PTSU0079	GALLETA DE AVENA 1 UND	UND			
PTSU0080	MINI CACHITO DE JAMON 1 UND	UND			
PTSU0081	CRUFFIN DE PECANS 1 UND	UND			
PTSU0082	CRUFFIN DE PISTACHOS 1 UND	UND			
PTSU0083	CRUFFIN DE CAFE Y AVELLANAS 1 UND	UND			
PTSU0084	CINNAMON ROLL TIRAMISU 95 GR 1 UND	UND			
PTSU0086	MINI CACHITO DE PAVO Y QUESO CREMA 1 UND	UND			
PTSU0089	DONA REGULAR COOKIES & CREAM 60 G 1 UND	UND			
PTSU0090	CENTRICOS GLASEADOS 1 CAJA 10 UND	UND			
STMZ0002	GLASEADO DE CINNAMON 0,900 KG	KG	0	0	0
STPC0023	CINNAMON ROLL 1 UND ST	UND			
STMS0001	MASA PDT 2 UND	KG	0	0	0
